paper_id,instA_coords,instB_coords,instA_id,instB_id
000affa746a03f1fe4e3b3ef1a62fdfa9b9ac52a,"[120.22193689999999, 23.0207771]","[121.5189863, 25.0407391]",1134,5009
000affa746a03f1fe4e3b3ef1a62fdfa9b9ac52a,"[120.22193689999999, 23.0207771]","[121.4627868, 25.0169826]",1134,10160
000affa746a03f1fe4e3b3ef1a62fdfa9b9ac52a,"[120.22193689999999, 23.0207771]","[121.51953259999999, 25.0395902]",1134,6086
000affa746a03f1fe4e3b3ef1a62fdfa9b9ac52a,"[121.5189863, 25.0407391]","[121.4627868, 25.0169826]",5009,10160
000affa746a03f1fe4e3b3ef1a62fdfa9b9ac52a,"[121.5189863, 25.0407391]","[121.51953259999999, 25.0395902]",5009,6086
000affa746a03f1fe4e3b3ef1a62fdfa9b9ac52a,"[121.4627868, 25.0169826]","[121.51953259999999, 25.0395902]",10160,6086
001d8d54a7e73e761f779c81661595cc5ae2ca08,"[4.4102318, 51.2228097]","[4.8674108, 52.333569]",2019,3099
001ec025dd65db8a47827c8f49d9c41d60f35d00,"[-1.1693799999999999, 38.01875100000001]","[15.969915400000001, 45.810606899999996]",4607,4648
001ec025dd65db8a47827c8f49d9c41d60f35d00,"[-1.1693799999999999, 38.01875100000001]","[28.877503000000004, 40.2251434]",4607,3860
001ec025dd65db8a47827c8f49d9c41d60f35d00,"[-1.1693799999999999, 38.01875100000001]","[-7.904595100000001, 38.573181]",4607,4424
001ec025dd65db8a47827c8f49d9c41d60f35d00,"[15.969915400000001, 45.810606899999996]","[28.877503000000004, 40.2251434]",4648,3860
001ec025dd65db8a47827c8f49d9c41d60f35d00,"[15.969915400000001, 45.810606899999996]","[-7.904595100000001, 38.573181]",4648,4424
001ec025dd65db8a47827c8f49d9c41d60f35d00,"[28.877503000000004, 40.2251434]","[-7.904595100000001, 38.573181]",3860,4424
0022796bb2112abd2e6423ba2d57751db06049fb,"[149.118527, -35.2776999]","[146.7605092, -19.3239872]",7100,3129
0022796bb2112abd2e6423ba2d57751db06049fb,"[149.118527, -35.2776999]","[138.6066669, -34.9201652]",7100,2632
0022796bb2112abd2e6423ba2d57751db06049fb,"[149.118527, -35.2776999]","[-88.04134320000001, 41.5879402]",7100,9851
0022796bb2112abd2e6423ba2d57751db06049fb,"[146.7605092, -19.3239872]","[138.6066669, -34.9201652]",3129,2632
0022796bb2112abd2e6423ba2d57751db06049fb,"[146.7605092, -19.3239872]","[-88.04134320000001, 41.5879402]",3129,9851
0022796bb2112abd2e6423ba2d57751db06049fb,"[138.6066669, -34.9201652]","[-88.04134320000001, 41.5879402]",2632,9851
003229cade748c34593401d3f2b61eadeca86de4,"[-96.58472490000001, 39.1974437]","[-80.22618039999998, 43.5327217]",10302,6059
00325033266973fb091b9beb535090bf94810283,"[2.1027052000000004, 41.5028381]","[-3.6899949999999997, 40.47548099999999]",6042,8479
00325033266973fb091b9beb535090bf94810283,"[2.1027052000000004, 41.5028381]","[-16.291927800000003, 28.456549300000002]",6042,1718
00325033266973fb091b9beb535090bf94810283,"[2.1027052000000004, 41.5028381]","[-0.4178847, 39.1603021]",6042,600
00325033266973fb091b9beb535090bf94810283,"[-3.6899949999999997, 40.47548099999999]","[-16.291927800000003, 28.456549300000002]",8479,1718
00325033266973fb091b9beb535090bf94810283,"[-3.6899949999999997, 40.47548099999999]","[-0.4178847, 39.1603021]",8479,600
00325033266973fb091b9beb535090bf94810283,"[-16.291927800000003, 28.456549300000002]","[-0.4178847, 39.1603021]",1718,600
00326efcca0852dc6e39dc6b7786267e1bc4f194,"[-78.8555816, 38.404848799999996]","[-122.31761409999999, 47.6912794]",6662,2544
00352a58c8766861effed18a4b079d1683fec2ec,"[-71.1190232, 42.4074843]","[-122.4866103, 48.7342877]",1921,9816
0036b28fddf7e93da0970303672934ea2f9944e7,"[22.9506205, 39.3576754]","[-96.3364772, 30.618755800000002]",8382,4335
0036b28fddf7e93da0970303672934ea2f9944e7,"[22.9506205, 39.3576754]","[11.354157, 44.4962318]",8382,1449
0036b28fddf7e93da0970303672934ea2f9944e7,"[22.9506205, 39.3576754]","[-2.6029792, 51.4584172]",8382,6198
0036b28fddf7e93da0970303672934ea2f9944e7,"[-96.3364772, 30.618755800000002]","[11.354157, 44.4962318]",4335,1449
0036b28fddf7e93da0970303672934ea2f9944e7,"[-96.3364772, 30.618755800000002]","[-2.6029792, 51.4584172]",4335,6198
0036b28fddf7e93da0970303672934ea2f9944e7,"[11.354157, 44.4962318]","[-2.6029792, 51.4584172]",1449,6198
