institution,addr,lat,lng
CHU de Bicê tre,"78 Rue du Général Leclerc, 94270 Le Kremlin-Bicêtre, France",48.8105963,2.3522501
Ecole Nationale Vétérinaire de Toulouse,"23 Chemin des Capelles, 31300 Toulouse, France",43.5980143,1.3803063
"Zhuhai United Laboratories Co., Ltd","Yulin Rd, Jinwan Qu, Zhuhai Shi, Guangdong Sheng, China",22.0384761,113.3354801
Hedong District,"Hedong, Tianjin, China",39.128291,117.251586
National United University,"360, Taiwan, Miaoli County, Miaoli City, 恭敬里聯大1號",24.5458044,120.81232
Shahid Beheshti University G.C,"Tehran Province, Tehran, District 1, Daneshjou Boulevard, 19839 69411, Iran",35.7990628,51.3946864
Liaoning Medical University,"Taihe District, Jinzhou, China",41.14919,121.141612
Research Center in Infectious Diseases of the CHUQ-CHUL and Laval University,"2325 Rue de l'Université, Québec, QC G1V 0A6, Canada",46.78174629999999,-71.2747424
Ö stergö tland County Council,"Catmose House, Catmose Street, Oakham LE15 6HP, UK",52.668067,-0.7248490000000001
University of Franche-Comté and University Hospital,"19 Rue Ambroise Paré, 25000 Besançon, France",47.2243826,5.957022500000001
Instituto de Biomedicina Sevilla (IBiS),"Calle Antonio Maura Montaner, 41013 Sevilla, Spain",37.3646471,-5.9788856
Alemana Clinic,"Av Vitacura 5951, Vitacura, Región Metropolitana, Chile",-33.3924402,-70.5730165
National Chi-Nan University,"No. 1號, Daxue Road, Puli Township, Nantou County, Taiwan 54561",23.9511431,120.9306649
Hayashibara Co. Ltd,"1-chōme-1-3 Shimoishii, Kita-ku, Okayama, 700-0907, Japan",34.6634217,133.9185816
Ningbo First Hospital,"59 Liuting St, Haishu Qu, Ningbo Shi, Zhejiang Sheng, China, 315016",29.867834,121.546467
Kuandian Country Hospital,"Kuandian Manchu Autonomous County, Dandong, Liaoning, China",40.731316,124.783659
BioMérieux,"5690 Campus Pkwy, Hazelwood, MO 63042, USA",38.7713646,-90.3914558
University of illinois at Urbana-Champaign (UiUC),"Champaign, IL, USA",40.1019523,-88.2271615
Bobst Hospital,"444 E 68th St 9th floor, New York, NY 10065, USA",40.7645971,-73.9568717
Universidade de Lisboa,"Cidade Universitária, Alameda da Universidade, 1649-004 Lisboa, Portugal",38.7526578,-9.158244999999999
Universitiit Wi~rzburg,"Sanderring 2, 97070 Würzburg, Germany",49.7881814,9.93526
Anhui Agricultural University,"130 Changjiang W Rd, Shushan Qu, Hefei Shi, Anhui Sheng, China",31.860048,117.257372
"Suzhou Xishan Zhongke Laboratory Animal Co., Ltd","Wangshan Rd, Wuzhong Qu, Suzhou Shi, Jiangsu Sheng, China",31.202427,120.559698
Curtin University,"Kent St, Bentley WA 6102, Australia",-32.0061951,115.8944182
NICHD,"6710 Rockledge Dr, Bethesda, MD 20817, USA",39.0292164,-77.13551009999999
Universidade Federal Rural do Rio de Janeiro,"Rodovia BR 465, Km 07, s/n Zona Rural, Seropédica - RJ, 23890-000, Brazil",-22.7690305,-43.6869836
Universidad de Murcia,"Calle Santo Cristo, 1, 30001 Murcia, Spain",37.9877458,-1.127089
North Shore -LIJ Research Institute,"1001 University Pl, Evanston, IL 60201, USA",42.0512822,-87.68515529999999
Biberach an der Riss,"Biberach, Germany",48.0951473,9.7901525
Servicio de Microbiología. Hospital Universitario Germans Trias i Pujol. Badalona. Barcelona,"Carretera de Canyet, s/n, 08916 Badalona, Barcelona, Spain",41.48111710000001,2.2378669
Institut national de la transfusion sanguine,"6 Rue Alexandre Cabanel, 75015 Paris, France",48.8490608,2.3019769
Tandon School of Engineering,"6 MetroTech Center, Brooklyn, NY 11201, USA",40.6942036,-73.98657899999999
Health Sciences Center,"865 Research Pkwy, Oklahoma City, OK 73104, USA",35.4742188,-97.5048466
Public Health Laboratories,"3477, 8515 Georgia Ave #700, Silver Spring, MD 20910, USA",38.99503,-77.026763
Universidad Autó noma Chapingo,"Carretera Federal México-Texcoco Km 38.5, Universidad Autonoma de Chapingo, 56230 Texcoco, Méx., Mexico",19.491126,-98.8840805
Università degli Studi di Bari Aldo Moro,"Università degli Studi di Bari Aldo Moro, Via Edoardo Orabona, 4, 70125 Bari BA, Italy",41.1086624,16.8833411
University of Arkansas-Fayetteville,"Fayetteville, AR 72701, USA",36.0686895,-94.1748471
University of Veterinary Medicine Hannover,"Bünteweg 9, 30559 Hannover, Germany",52.3549693,9.8015244
M.V. Lomonosov Moscow State University,"ul. Leninskiye Gory, 1, Moskva, Russia, 119991",55.70393490000001,37.5286696
Kleintierklinik Breitensee Wien,"Breitenseer Str. 16, 1140 Wien, Austria",48.200119,16.3116321
Istituto Superiore di Sanita ',"Viale Regina Elena, 299, 00161 Roma RM, Italy",41.9042519,12.5180596
Central South University,"932 Lushan S Rd, Yuelu Qu, Changsha Shi, Hunan Sheng, China",28.16437,112.93251
Kamaraj College,"482, Tiruchendur Rd, CGE Colony, Thoothukudi, Tamil Nadu 628003, India",8.79206,78.1441862
Sen University,"3820 Sen J Bennett Johnston Ave, Lake Charles, LA 70615, USA",30.2173254,-93.1627524
University Hospital of Essen,"Hufelandstraße 55, 45147 Essen, Germany",51.4364493,6.989008699999999
Istituto Zooprofilattico Sperimentale della Lombarda e dell'Emilia Romagna,"Via Pietro Fiorini, 5, 40127 Bologna BO, Italy",44.5142526,11.421633
bioMérieux Inc,"100 Rodolphe St, Durham, NC 27712, USA",36.0984257,-78.8264275
Northwest University for Nationalities,"China, Gansu Sheng, Lanzhou Shi, Chengguan Qu, Minying Rd, 西北新村1 邮政编码: 730030",36.045989,103.818081
Boston University School of Public Health,"715 Albany St, Boston, MA 02118, USA",42.3356179,-71.0715973
University of Lorraine,"2, avenue de l'Université, 4365 Esch-sur-Alzette, Luxembourg",49.504254,5.948386
Instituto Oswaldo Cruz/Fiocruz,"Av. Brasil, 4365 - Manguinhos, Rio de Janeiro - RJ, 21040-900, Brazil",-22.875704,-43.242977
"Abt Associates, Inc","6130 Executive Blvd, Rockville, MD 20852, USA",39.048171,-77.12743499999999
Immunology University of South Florida College,"4202 E Fowler Ave, Tampa, FL 33620, USA",28.0587031,-82.41385389999999
Universidad del Zulia,"Maracaibo 4001, Zulia, Venezuela",10.6724518,-71.6326976
Provincial Hospital Affiliated to Shandong University,"105 Jiefang Rd, Lixia Qu, Jinan Shi, Shandong Sheng, China",36.667116,117.048088
The Royal Melbourne Hospital,"300 Grattan St, Parkville VIC 3050, Australia",-37.7989153,144.95617
University of Yamanashi,"4-chōme-4-37 Takeda, Kofu, Yamanashi 400-8510, Japan",35.6778833,138.5735023
Elsevier Inc,"1600 John F Kennedy Blvd #1800, Philadelphia, PA 19103, USA",39.953625,-75.1668899
Kenema Government Hospital,"Hanga Road, Kenema, Sierra Leone",7.888266399999999,-11.1881332
University of Chicago Medicine,"5841 S Maryland Ave, Chicago, IL 60637, USA",41.7887967,-87.6042591
University of Rochester Medical Center,"601 Elmwood Ave, Rochester, NY 14642, USA",43.1230503,-77.6269403
Microbiologie Centre National de la Recherche Scientifique-Unité,"3 Rue Michel Ange, 75016 Paris, France",48.8476037,2.2639934
Macerata Hospital,"Via Santa Lucia, 2, 62100 Macerata MC, Italy",43.2935765,13.4580373
Georgia Environmental Protection Division,"2 M.L.K. Jr Dr SW, Atlanta, GA 30334, USA",33.750147,-84.3861788
UAB,"1720 University Blvd, Birmingham, AL 35294, USA",33.5019893,-86.8064433
International Modern Hospital,Port Rashid Road Al Mankhool Area - Dubai - United Arab Emirates,25.2488545,55.2834077
Children's Hospital of Pittsburgh,"4401 Penn Ave, Pittsburgh, PA 15224, USA",40.467203,-79.9531598
Korea University Medical Center,"73 Inchon-ro, Anam-dong, Seongbuk-gu, Seoul, South Korea",37.5870127,127.0268836
The Ohio State Universi~,"Columbus, OH 43210, USA",40.0068363,-83.0306222
Federal Republic of Germany,Germany,51.165691,10.451526
Irrua Specialist Teaching Hospital,"KM 87 Benin Auchi Rd, Irrua, Nigeria",6.7318291,6.1896201
University of Pennsylvania Medical Center,"3400 Spruce St, Philadelphia, PA 19104, USA",39.9501477,-75.19388289999999
Oxford University Clinical Research Unit-Viet Nam,"764 Võ Văn Kiệt, Phường 1, Quận 5, Hồ Chí Minh, Vietnam",10.7529024,106.6785155
Beijing University of Posts and Telecommunications,"10 Xitucheng Rd, Bei Tai Ping Zhuang, Haidian Qu, Beijing Shi, China, 100876",39.962796,116.358103
The Ohio Stute University,"Columbus, OH 43210, USA",40.0068363,-83.0306222
Hudson Institute of Medical Research and Monash University,"27-31 Wright St, Clayton VIC 3168, Australia",-37.921864,145.125404
Todd Campus,"Fleming Pavilion Todd Campus, Acre Rd, Glasgow G20 0XA, UK",55.9051239,-4.3090509
University of Texas Health Science Center at Houston,"7000 Fannin St #1200, Houston, TX 77030, USA",29.7031663,-95.4032312
University of Maryland at Baltimore,"620 W Lexington St, Baltimore, MD 21201, USA",39.2892017,-76.6257057
