year,nPapers,cumulative
1965,31,31
1966,18,49
1967,24,73
1968,28,101
1969,29,130
1970,34,164
1971,36,200
1972,37,237
1973,52,289
1974,29,318
1975,44,362
1976,63,425
1977,69,494
1978,72,566
1979,89,655
1980,107,762
1981,132,894
1982,110,1004
1983,124,1128
1984,123,1251
1985,138,1389
1986,176,1565
1987,170,1735
1988,201,1936
1989,220,2156
1990,234,2390
1991,250,2640
1992,260,2900
1993,249,3149
1994,255,3404
1995,281,3685
1996,248,3933
1997,242,4175
1998,305,4480
1999,308,4788
2000,311,5099
2001,294,5393
2002,296,5689
2003,858,6547
2004,1370,7917
2005,1374,9291
2006,1562,10853
2007,1499,12352
2008,1772,14124
2009,2085,16209
2010,2128,18337
2011,2322,20659
2012,2629,23288
2013,3082,26370
2014,3508,29878
2015,3902,33780
2016,4052,37832
2017,4172,42004
2018,4325,46329
2019,4744,51073
2020,96526,147599
